,Mauritania,–,,64,,68,,40,,74,,70,,75,,61,,28,,39,,14,,51,,,,,,,,,,
,Mauritius,17,,6,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Mexico,8,,2,,51,,30,,82,,36,,52,,16,,59,,81,,48,,18,,,,,,,,,,
,Micronesia (Federated States of),–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Monaco,5,,0,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Mongolia,5,,1,,84,,59,,97,,64,,66,,58,,45,,92,,41,,37,,,,,,,,,,
,Montenegro,5,,1,,14,,17,,95,,15,,27,,11,,69,,90,,61,,9,,,,,,,,,,
,Montserrat,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Morocco,17,,27,,43,,35,,84,x,35,x,45,x,19,x,–,,–,,–,,–,,,,,,,,,,
,Mozambique,14,,49,,69,,41,,95,,75,x,80,x,53,x,28,x,41,x,13,x,36,x,,,,,,,,,
,Myanmar,12,,55,,67,,51,,75,,78,,84,,66,,21,,58,,16,,56,,,,,,,,,,
,Namibia,16,,14,,71,,48,,80,,47,,55,,27,,25,,41,,13,,52,,,,,,,,,,
,Nauru,–,,4,,76,x,67,x,–,,67,x,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Nepal,22,,39,,55,,65,,84,,94,,97,,91,,45,,71,,36,,38,,,,,,,,,,
,Netherlands,6,,6,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,New Zealand,6,,8,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Nicaragua,11,,8,,54,x,32,x,89,x,52,x,64,x,28,x,–,,–,,–,,–,,,,,,,,,,
,Niger,–,,77,,53,x,23,x,62,x,78,x,85,x,71,x,8,x,51,x,6,x,67,x,,,,,,,,,
,Nigeria,–,,75,,33,,25,,66,,51,,80,r,48,r,34,,46,,15,,32,,,,,,,,,,
,Niue,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,North Macedonia,9,,4,,21,x,23,x,87,x,27,x,25,x,26,x,–,,65,x,–,,–,,,,,,,,,,
,Norway,4,,3,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Oman,11,,0,,82,,23,,95,,–,,–,,–,,–,,65,,–,,–,,,,,,,,,,
,Pakistan,–,,84,,20,,47,,65,,63,,75,,52,,15,,63,,13,,61,,,,,,,,,,
,Palau,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Panama,10,,9,,47,,21,,78,,41,,57,,18,,–,,64,,–,,–,,,,,,,,,,
,Papua New Guinea,–,,–,,–,,56,x,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Paraguay,8,,2,,50,,30,,87,,33,,41,,43,,52,,75,,40,,16,,,,,,,,,,
,Peru,9,,5,,50,,66,,95,,65,,69,,53,,83,,–,,–,,7,,,,,,,,,,
,Philippines,20,,16,,57,,33,x,89,x,60,,68,,49,,54,x,–,,–,,22,x,,,,,,,,,
,Poland,6,,0,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Portugal,9,,0,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Qatar,7,,2,,34,x,29,x,74,x,47,x,–,,–,,–,,49,x,–,,–,,,,,,,,,,
,Republic of Korea,6,,2,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Republic of Moldova,5,,1,,61,x,36,x,75,x,27,x,44,x,22,x,70,x,49,x,–,,10,x,,,,,,,,,
,Romania,8,,2,,58,x,16,x,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Russian Federation,6,,0,,25,x,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Rwanda,8,,8,,80,,87,,57,,91,,94,,81,,28,,47,,18,,25,,,,,,,,,,
,Saint Kitts and Nevis,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Saint Lucia,–,,0,,50,x,3,x,–,"x,p",29,x,–,"x,p",–,"x,p",–,,50,x,–,,–,,,,,,,,,,
,Saint Vincent and the Grenadines,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Samoa,–,,24,,81,,70,,74,,73,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,San Marino,3,,2,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Sao Tome and Principe,7,,7,,38,,72,,74,,51,,65,,46,,37,,60,,23,,27,,,,,,,,,,
,Saudi Arabia,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Senegal,18,,40,,34,,42,,67,,70,,77,,61,,20,,31,,8,,52,,,,,,,,,,
,Serbia,5,,2,,51,,13,,97,,15,,20,,18,,77,,96,,70,,3,,,,,,,,,,
,Seychelles,12,,0,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Sierra Leone,14,,52,,56,,47,,68,,61,,71,,33,,18,,43,,9,,41,,,,,,,,,,
,Singapore,10,,17,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Slovakia,8,,2,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Slovenia,6,,4,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Solomon Islands,–,,14,,79,,76,,–,,71,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Somalia,–,,96,x,23,x,5,x,17,x,43,x,61,x,23,x,–,,–,,–,,–,,,,,,,,,,
,South Africa,14,,19,,67,,32,,83,,34,,47,,25,,40,,52,,23,,37,,,,,,,,,,
,South Sudan,–,,–,,50,x,45,x,42,x,62,x,67,x,58,x,–,,12,x,–,,–,,,,,,,,,,
,Spain,8,,4,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Sri Lanka,16,,0,,90,,82,,88,,91,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,State of Palestine,8,,0,,41,,38,,90,,31,,33,,29,,50,,79,,39,,27,,,,,,,,,,
,Sudan,–,,89,,69,,55,,61,,73,,72,,74,,24,,42,,15,,67,,,,,,,,,,
,Suriname,15,,19,,45,x,3,x,79,x,17,x,16,x,15,x,–,,64,x,–,,–,,,,,,,,,,
,Sweden,2,,5,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Switzerland,6,,0,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Syrian Arab Republic,–,,52,x,46,x,43,x,44,x,45,x,57,x,42,x,–,,–,,–,,–,,,,,,,,,,
,Tajikistan,6,,9,,62,,36,,63,,57,,63,,53,,23,,40,,9,,58,,,,,,,,,,
,Thailand,11,,1,,40,,23,,85,,24,,35,,11,,63,,85,,54,,22,,,,,,,,,,
,Timor-Leste,–,,47,,75,,50,,63,,52,,61,,44,,28,,46,,13,,35,,,,,,,,,,
,Togo,16,,40,,61,,57,,67,,82,,92,,69,,18,,46,,12,,45,,,,,,,,,,
,Tokelau,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Tonga,–,,6,,79,x,52,x,–,,41,x,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Trinidad and Tobago,12,,19,,46,x,21,x,56,x,34,x,45,x,–,"x,p",–,,70,x,–,,–,,,,,,,,,,
,Tunisia,7,,3,,32,,14,,97,,30,,39,,28,,–,,88,,55,,20,,,,,,,,,,
,Turkey,11,,0,,50,,30,,75,,50,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Turkmenistan,5,,1,,73,,58,,82,,44,,54,,24,,82,,93,,77,,9,,,,,,,,,,
,Turks and Caicos Islands,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Tuvalu,–,,3,x,15,x,35,x,–,,53,x,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Uganda,–,,33,,66,,65,,81,,67,,77,,53,,26,,42,,15,,44,,,,,,,,,,
,Ukraine,6,,3,,66,x,20,x,75,x,31,x,31,x,30,x,–,,64,x,–,,–,,,,,,,,,,
,United Arab Emirates,13,,3,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,United Kingdom,7,,4,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,United Republic of Tanzania,10,,36,,51,,59,,92,,72,,75,,70,,21,,40,,9,,29,,,,,,,,,,
,United States,8,,2,,–,,35,,–,,13,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Uruguay,8,,6,,77,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Uzbekistan,5,,1,x,67,x,24,x,47,x,57,x,66,x,52,x,–,,–,,–,,–,,,,,,,,,,
,Vanuatu,11,,13,,85,,73,,72,,58,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Venezuela (Bolivarian Republic of),9,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Viet Nam,8,,6,,26,,24,,91,,43,,55,,29,,59,,91,,55,,14,,,,,,,,,,
,Yemen,–,,92,,53,,10,,69,,63,,73,,56,,21,,59,,15,,66,,,,,,,,,,
,Zambia,12,,34,,66,,70,,82,,63,,87,r,48,r,18,,42,,10,,35,,,,,,,,,,
,Zimbabwe,13,,18,,58,,47,,91,,55,,61,,45,,23,,36,,8,,32,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SUMMARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,East Asia and Pacific,8,,6,,38,,30,,84,,60,q,68,q,47,q,40,,71,,30,,23,q,,,,,,,,,
,Europe and Central Asia,7,,2,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Eastern Europe and Central Asia,7,,2,,57,q,33,q,75,q,47,q,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Western Europe,7,,3,,–,,–,,–,,–,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,Latin America and Caribbean,9,,7,,54,q,38,q,84,q,45,q,57,q,28,q,60,q,75,q,–,,21,q,,,,,,,,,
,Middle East and North Africa,11,,35,,36,,31,,78,,47,,55,,42,,36,,65,,26,,42,,,,,,,,,,
,North America,8,,2,,–,,35,,–,,13,,–,,–,,–,,–,,–,,–,,,,,,,,,,
,South Asia,27,,39,,40,,54,,52,,78,,86,,67,,20,,44,,12,,55,,,,,,,,,,
,Sub-Saharan Africa,14,,52,,52,,44,,72,,67,,79,,59,,24,,43,,12,,42,,,,,,,,,,
,Eastern and Southern Africa,14,,48,,65,,55,,77,,72,,77,,65,,24,,43,,13,,44,,,,,,,,,,
,West and Central Africa,14,,54,,41,,34,,68,,64,,82,,53,,25,,42,,12,,40,,,,,,,,,,
,Least developed countries,16,,54,,58,,51,,72,,78,,82,,69,,21,,45,,13,,49,,,,,,,,,,
,World,15,,29,,44,,42,,69,,65,,78,,58,,29,,53,,19,,44,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"For a complete list of countries and areas in the regions, subregions and country categories, see page 182 or visit <data.unicef.org/regionalclassifications>.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,It is not advisable to compare data from consecutive editions of The State of the World’s Children.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,– Data not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,x Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages. Estimates from years prior to 2000 are not displayed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,p Based on small denominators (typically 25-49 unweighted cases). No data based on fewer than 25 unweighted cases are displayed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"q Regional estimates for East Asia and Pacific exclude China, Latin America and the Caribbean exclude Brazil, Eastern Europe and Central Asia exclude the Russian Federation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,r Disaggregated data are from different sources than the data presented for all children for the same indicator.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"zThe estimate is based on partial data for the most recent survey, therefore modeled estimates are not shown for the individual country but have been used in regional and global estimates.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,* Data refer to the most recent year available during the period specified in the column heading.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DEFINITIONS OF THE INDICATORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Low birthweight – Percentage of infants weighing less than 2,500 grams at birth.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Unweighed at birth – Percentage of births without a birthweight in the data source; Note that (i) estimates from household surveys include live births among women age 15–49 years in the survey reference period (e.g. last 2 years) for which a birthweight was not available from an official document (e.g. health card) or could not be recalled by the respondent at the time of interview and may have been recalculated to count birthweights <250g and >5500g as missing and (ii)  estimates from administrative sources (e.g. Health Management Information Systems) were calculated using numerator data from the country administrative source and denominator data were the number of annual births according to the United Nations Population Division World Population Prospects, 2017 edition. These estimates include unweighed births and weighed births not recorded in the system.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Early initiation of breastfeeding – Percentage of children born in the last 24 months who were put to the breast within one hour of birth.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exclusive breastfeeding (<6 months) – Percentage of infants 0-5 months of age who were fed exclusively with breastmilk during the previous day.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Continued breastfeeding (12-23 months) – Percentage of children 12-23 months of age who were fed with breastmilk during the previous day.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Introduction of solid, semi-solid or soft foods (6–8 months) – Percentage of infants 6-8 months of age who were fed with solid, semi-solid or soft food during the previous day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Minimum Diet Diversity (6–23 months) – Percentage of children 6-23 months of age who received foods from at least 5 out of 8 defined food groups during the previous day.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
